initial_samples sample height tube remaining_vol
39 37 0.5 1 168.0
39 38 0.5 1 148.0
39 39 0.5 1 128.0
40 1 13.28 1 910.0
40 2 12.91 1 890.0
40 3 12.53 1 870.0
40 4 12.16 1 850.0
40 5 11.79 1 830.0
40 6 11.41 1 810.0
40 7 11.04 1 790.0
40 8 10.66 1 770.0
40 9 10.29 1 750.0
40 10 9.91 1 730.0
40 11 9.54 1 710.0
40 12 9.17 1 690.0
40 13 8.79 1 670.0
40 14 8.42 1 650.0
40 15 8.04 1 630.0
40 16 7.67 1 610.0
40 17 7.3 1 590.0
40 18 6.92 1 570.0
40 19 6.55 1 550.0
40 20 6.17 1 530.0
40 21 5.8 1 510.0
40 22 5.43 1 490.0
40 23 5.05 1 470.0
40 24 4.68 1 450.0
40 25 4.3 1 430.0
40 26 3.93 1 410.0
40 27 3.55 1 390.0
40 28 3.18 1 370.0
40 29 2.81 1 350.0
40 30 2.43 1 330.0
40 31 2.06 1 310.0
40 32 1.68 1 290.0
40 33 1.31 1 270.0
40 34 0.94 1 250.0
40 35 0.56 1 230.0
40 36 0.5 1 210.0
40 37 0.5 1 190.0
40 38 0.5 1 170.0
40 39 0.5 1 150.0
40 40 0.5 1 130.0
41 1 13.69 1 932.0
41 2 13.32 1 912.0
41 3 12.95 1 892.0
41 4 12.57 1 872.0
41 5 12.2 1 852.0
41 6 11.82 1 832.0
41 7 11.45 1 812.0
41 8 11.07 1 792.0
41 9 10.7 1 772.0
41 10 10.33 1 752.0
41 11 9.95 1 732.0
41 12 9.58 1 712.0
41 13 9.2 1 692.0
41 14 8.83 1 672.0
41 15 8.46 1 652.0
41 16 8.08 1 632.0
41 17 7.71 1 612.0
41 18 7.33 1 592.0
41 19 6.96 1 572.0
41 20 6.58 1 552.0
41 21 6.21 1 532.0
41 22 5.84 1 512.0
41 23 5.46 1 492.0
41 24 5.09 1 472.0
41 25 4.71 1 452.0
41 26 4.34 1 432.0
41 27 3.97 1 412.0
41 28 3.59 1 392.0
41 29 3.22 1 372.0
41 30 2.84 1 352.0
41 31 2.47 1 332.0
41 32 2.1 1 312.0
41 33 1.72 1 292.0
41 34 1.35 1 272.0
41 35 0.97 1 252.0
41 36 0.6 1 232.0
41 37 0.5 1 212.0
41 38 0.5 1 192.0
41 39 0.5 1 172.0
41 40 0.5 1 152.0
41 41 0.5 1 132.0
42 1 14.11 1 954.0
42 2 13.73 1 934.0
42 3 13.36 1 914.0
42 4 12.98 1 894.0
42 5 12.61 1 874.0
42 6 12.23 1 854.0
42 7 11.86 1 834.0
42 8 11.49 1 814.0
42 9 11.11 1 794.0
42 10 10.74 1 774.0
42 11 10.36 1 754.0
42 12 9.99 1 734.0
42 13 9.62 1 714.0
42 14 9.24 1 694.0
42 15 8.87 1 674.0
42 16 8.49 1 654.0
42 17 8.12 1 634.0
42 18 7.74 1 614.0
42 19 7.37 1 594.0
42 20 7.0 1 574.0
42 21 6.62 1 554.0
42 22 6.25 1 534.0
42 23 5.87 1 514.0
42 24 5.5 1 494.0
42 25 5.13 1 474.0
42 26 4.75 1 454.0
42 27 4.38 1 434.0
42 28 4.0 1 414.0
42 29 3.63 1 394.0
42 30 3.26 1 374.0
42 31 2.88 1 354.0
42 32 2.51 1 334.0
42 33 2.13 1 314.0
42 34 1.76 1 294.0
42 35 1.38 1 274.0
42 36 1.01 1 254.0
42 37 0.64 1 234.0
42 38 0.5 1 214.0
42 39 0.5 1 194.0
42 40 0.5 1 174.0
42 41 0.5 1 154.0
42 42 0.5 1 134.0
43 1 14.52 1 976.0
43 2 14.14 1 956.0
43 3 13.77 1 936.0
43 4 13.39 1 916.0
43 5 13.02 1 896.0
43 6 12.65 1 876.0
43 7 12.27 1 856.0
43 8 11.9 1 836.0
43 9 11.52 1 816.0
43 10 11.15 1 796.0
43 11 10.78 1 776.0
43 12 10.4 1 756.0
43 13 10.03 1 736.0
43 14 9.65 1 716.0
43 15 9.28 1 696.0
43 16 8.9 1 676.0
43 17 8.53 1 656.0
43 18 8.16 1 636.0
43 19 7.78 1 616.0
43 20 7.41 1 596.0
43 21 7.03 1 576.0
43 22 6.66 1 556.0
43 23 6.29 1 536.0
43 24 5.91 1 516.0
43 25 5.54 1 496.0
43 26 5.16 1 476.0
43 27 4.79 1 456.0
43 28 4.41 1 436.0
43 29 4.04 1 416.0
43 30 3.67 1 396.0
43 31 3.29 1 376.0
43 32 2.92 1 356.0
43 33 2.54 1 336.0
43 34 2.17 1 316.0
43 35 1.8 1 296.0
43 36 1.42 1 276.0
43 37 1.05 1 256.0
43 38 0.67 1 236.0
43 39 0.5 1 216.0
43 40 0.5 1 196.0
43 41 0.5 1 176.0
43 42 0.5 1 156.0
43 43 0.5 1 136.0
44 1 14.93 1 998.0
44 2 14.55 1 978.0
44 3 14.18 1 958.0
44 4 13.81 1 938.0
44 5 13.43 1 918.0
44 6 13.06 1 898.0
44 7 12.68 1 878.0
44 8 12.31 1 858.0
44 9 11.94 1 838.0
44 10 11.56 1 818.0
44 11 11.19 1 798.0
44 12 10.81 1 778.0
44 13 10.44 1 758.0
44 14 10.06 1 738.0
44 15 9.69 1 718.0
44 16 9.32 1 698.0
44 17 8.94 1 678.0
44 18 8.57 1 658.0
44 19 8.19 1 638.0
44 20 7.82 1 618.0
44 21 7.45 1 598.0
44 22 7.07 1 578.0
44 23 6.7 1 558.0
44 24 6.32 1 538.0
44 25 5.95 1 518.0
44 26 5.57 1 498.0
44 27 5.2 1 478.0
44 28 4.83 1 458.0
44 29 4.45 1 438.0
44 30 4.08 1 418.0
44 31 3.7 1 398.0
44 32 3.33 1 378.0
44 33 2.96 1 358.0
44 34 2.58 1 338.0
44 35 2.21 1 318.0
44 36 1.83 1 298.0
44 37 1.46 1 278.0
44 38 1.09 1 258.0
44 39 0.71 1 238.0
44 40 0.5 1 218.0
44 41 0.5 1 198.0
44 42 0.5 1 178.0
44 43 0.5 1 158.0
44 44 0.5 1 138.0
45 1 15.34 1 1020.0
45 2 14.97 1 1000.0
